Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
SH3BP4,ENSG00000130147,0.967,3.08E-02,2.94E-01,SH3-domain binding protein 4
SH3BP5,ENSG00000131370,1.086,2.09E-05,2.38E-03,SH3-domain binding protein 5 (BTK-associated)
SH3BP5-AS1,ENSG00000224660,-0.347,4.89E-02,3.68E-01,SH3BP5 antisense RNA 1
SH3BP5L,ENSG00000175137,0.058,7.77E-01,9.66E-01,SH3-binding domain protein 5-like
SH3D19,ENSG00000109686,1.241,3.45E-03,8.71E-02,SH3 domain containing 19
SH3D21,ENSG00000214193,-0.394,4.57E-01,8.56E-01,SH3 domain containing 21
SH3GL1,ENSG00000141985,0.147,6.99E-01,9.47E-01,SH3-domain GRB2-like 1
SH3GL1P1,ENSG00000266777,-0.452,2.50E-01,7.26E-01,SH3-domain GRB2-like 1 pseudogene 1
SH3GL1P2,ENSG00000264943,-0.581,4.64E-01,8.58E-01,SH3-domain GRB2-like 1 pseudogene 2
SH3GL1P3,ENSG00000267352, , , ,SH3-domain GRB2-like 1 pseudogene 3
SH3GL2,ENSG00000107295,-1.315,3.12E-02,2.96E-01,SH3-domain GRB2-like 2
SH3GL3,ENSG00000140600,0.418,5.07E-01,8.78E-01,SH3-domain GRB2-like 3
SH3GLB1,ENSG00000097033,0.047,8.05E-01,9.71E-01,SH3-domain GRB2-like endophilin B1
SH3GLB2,ENSG00000148341,-0.277,6.35E-02,4.22E-01,SH3-domain GRB2-like endophilin B2
SH3KBP1,ENSG00000147010,0.676,2.64E-02,2.71E-01,SH3-domain kinase binding protein 1
SH3PXD2A,ENSG00000107957,0.921,1.08E-01,5.36E-01,SH3 and PX domains 2A
SH3PXD2B,ENSG00000174705,0.035,8.69E-01,9.82E-01,SH3 and PX domains 2B
SH3RF1,ENSG00000154447,0.528,1.87E-01,6.56E-01,SH3 domain containing ring finger 1
SH3RF2,ENSG00000156463,1.573,8.16E-03,1.42E-01,SH3 domain containing ring finger 2
SH3RF3,ENSG00000172985,0.194,6.94E-01,9.47E-01,SH3 domain containing ring finger 3
SH3RF3-AS1,ENSG00000259863,0.828,5.36E-02,3.87E-01,SH3RF3 antisense RNA 1
SH3TC1,ENSG00000125089,1.757,1.49E-02,1.97E-01,SH3 domain and tetratricopeptide repeats 1
SH3TC2,ENSG00000169247,-0.587,2.44E-01,7.21E-01,SH3 domain and tetratricopeptide repeats 2
SH3YL1,ENSG00000035115,0.016,9.37E-01,9.92E-01,SH3 and SYLF domain containing 1
SHANK1,ENSG00000161681,-0.704,3.05E-01,7.69E-01,SH3 and multiple ankyrin repeat domains 1
SHANK2,ENSG00000162105,-0.012,9.84E-01,9.98E-01,SH3 and multiple ankyrin repeat domains 2
SHANK2-AS1,ENSG00000226627,-0.128,8.67E-01, ,SHANK2 antisense RNA 1
SHANK2-AS2,ENSG00000236262, , , ,SHANK2 antisense RNA 2
SHANK2-AS3,ENSG00000171671,-1.005,1.98E-01, ,SHANK2 antisense RNA 3
SHANK3,ENSG00000251322,-0.061,8.23E-01,9.75E-01,SH3 and multiple ankyrin repeat domains 3
SHARPIN,ENSG00000179526,0.142,5.95E-01,9.15E-01,SHANK-associated RH domain interactor
SHB,ENSG00000107338,0.684,6.72E-02,4.34E-01,Src homology 2 domain containing adaptor protein B
SHBG,ENSG00000129214,-0.48,2.97E-01,7.64E-01,sex hormone-binding globulin
SHC1,ENSG00000160691,1.164,5.98E-02,4.08E-01,SHC (Src homology 2 domain containing) transforming protein 1
SHC1P1,ENSG00000230889,-0.376,4.48E-01, ,SHC (Src homology 2 domain containing) transforming protein 1 pseudogene 1
SHC1P2,ENSG00000267691,0.212,7.62E-01, ,SHC (Src homology 2 domain containing) transforming protein 1 pseudogene 2
SHC2,ENSG00000129946,-0.339,3.48E-01,8.01E-01,SHC (Src homology 2 domain containing) transforming protein 2
SHC3,ENSG00000148082,0.106,8.49E-01,9.78E-01,SHC (Src homology 2 domain containing) transforming protein 3
SHC4,ENSG00000185634,0.426,3.49E-01,8.02E-01,"SHC (Src homology 2 domain containing) family, member 4"
SHCBP1,ENSG00000171241,0.194,7.18E-01,9.52E-01,SHC SH2-domain binding protein 1
SHCBP1L,ENSG00000157060,0.293,5.52E-01, ,SHC SH2-domain binding protein 1-like
SHD,ENSG00000105251,-0.638,2.87E-01,7.55E-01,Src homology 2 domain containing transforming protein D
SHE,ENSG00000169291,-1.106, , ,Src homology 2 domain containing E
SHF,ENSG00000138606,-0.038,9.34E-01,9.92E-01,Src homology 2 domain containing F
SHFM1P1,ENSG00000214857,0.112,8.87E-01, ,split hand/foot malformation (ectrodactyly) type 1 pseudogene 1
SHH,ENSG00000164690,1.597,1.09E-02,1.68E-01,sonic hedgehog
SHISA2,ENSG00000180730,2.134,3.72E-03,9.12E-02,shisa family member 2
SHISA3,ENSG00000178343,-0.619,3.40E-01,7.95E-01,shisa family member 3
SHISA4,ENSG00000198892,0.218,5.92E-01,9.12E-01,shisa family member 4
SHISA5,ENSG00000164054,0.295,2.24E-01,6.98E-01,shisa family member 5
SHISA6,ENSG00000264727,0.854,2.73E-01,7.44E-01,shisa family member 6
SHISA6,ENSG00000188803,0.325, , ,shisa family member 6
SHISA7,ENSG00000187902,-0.079,9.05E-01,9.89E-01,shisa family member 7
SHISA8,ENSG00000234965,-0.462,5.56E-01, ,shisa family member 8
SHISA9,ENSG00000237515,0.537,1.02E-01,5.20E-01,shisa family member 9
SHKBP1,ENSG00000160410,0.305,4.08E-01,8.34E-01,SH3KBP1 binding protein 1
SHMT1,ENSG00000176974,-0.377,1.88E-01,6.57E-01,serine hydroxymethyltransferase 1 (soluble)
SHMT1P1,ENSG00000224751, , , ,serine hydroxymethyltransferase 1 (soluble) pseudogene 1
SHMT2,ENSG00000182199,0.807,1.51E-01,6.08E-01,serine hydroxymethyltransferase 2 (mitochondrial)
SHOC2,ENSG00000108061,0.202,3.90E-01,8.24E-01,SHOC2 leucine-rich repeat scaffold protein
SHOX,ENSG00000185960,1.787, , ,short stature homeobox
SHOX2,ENSG00000168779,-0.93,2.04E-01,6.77E-01,short stature homeobox 2
SHPK,ENSG00000197417,-0.28,5.07E-01,8.78E-01,sedoheptulokinase
SHPRH,ENSG00000146414,-0.265,1.22E-01,5.59E-01,"SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase"
SHQ1,ENSG00000144736,0.46,3.64E-01,8.10E-01,"SHQ1, H/ACA ribonucleoprotein assembly factor"
SHROOM1,ENSG00000164403,1.24,1.26E-03,4.56E-02,shroom family member 1
SHROOM2,ENSG00000146950,0.237,6.57E-01,9.36E-01,shroom family member 2
SHROOM2P1,ENSG00000226863,0.301,5.46E-01, ,shroom family member 2 pseudogene 1
SHROOM3,ENSG00000138771,0.095,8.53E-01,9.78E-01,shroom family member 3
SHROOM4,ENSG00000158352,0.708,1.78E-01,6.47E-01,shroom family member 4
SHTN1,ENSG00000187164,-0.662,2.75E-01,7.45E-01,shootin 1
SI,ENSG00000090402,0.156,8.23E-01, ,sucrase-isomaltase (alpha-glucosidase)
SIAE,ENSG00000110013,-0.635,2.53E-01,7.27E-01,sialic acid acetylesterase
SIAH1,ENSG00000196470,-0.043,8.92E-01,9.87E-01,siah E3 ubiquitin protein ligase 1
SIAH1P1,ENSG00000230227, , , ,siah E3 ubiquitin protein ligase 1 pseudogene 1
SIAH2,ENSG00000181788,0.29,4.00E-01,8.29E-01,siah E3 ubiquitin protein ligase 2
SIAH2-AS1,ENSG00000244265,0.096,8.74E-01, ,SIAH2 antisense RNA 1
SIAH3,ENSG00000215475,0.15,7.99E-01,9.69E-01,siah E3 ubiquitin protein ligase family member 3
SIDT1,ENSG00000072858,-0.403,5.08E-01,8.78E-01,"SID1 transmembrane family, member 1"
SIDT1-AS1,ENSG00000239453,-0.362,4.61E-01, ,SIDT1 antisense RNA 1
SIDT2,ENSG00000149577,0.288,3.76E-01,8.16E-01,"SID1 transmembrane family, member 2"
SIGIRR,ENSG00000185187,-0.074,9.21E-01,9.91E-01,single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
SIGLEC1,ENSG00000088827,-0.071,9.26E-01,9.92E-01,"sialic acid binding Ig-like lectin 1, sialoadhesin"
SIGLEC10,ENSG00000142512,1.452,6.51E-02, ,sialic acid binding Ig-like lectin 10
SIGLEC11,ENSG00000161640,-1.17,1.43E-01, ,sialic acid binding Ig-like lectin 11
SIGLEC12,ENSG00000254521, , , ,sialic acid binding Ig-like lectin 12 (gene/pseudogene)
SIGLEC14,ENSG00000254415,0.066,9.21E-01, ,sialic acid binding Ig-like lectin 14
SIGLEC15,ENSG00000197046,2.054,8.06E-03, ,sialic acid binding Ig-like lectin 15
SIGLEC16,ENSG00000161643,0.307,5.41E-01, ,sialic acid binding Ig-like lectin 16 (gene/pseudogene)
SIGLEC17P,ENSG00000171101, , , ,"sialic acid binding Ig-like lectin 17, pseudogene"
SIGLEC18P,ENSG00000268581, , , ,"sialic acid binding Ig-like lectin 18, pseudogene"
SIGLEC20P,ENSG00000268336, , , ,"sialic acid binding Ig-like lectin 20, pseudogene"
SIGLEC21P,ENSG00000269253, , , ,"sialic acid binding Ig-like lectin 21, pseudogene"
SIGLEC22P,ENSG00000268849, , , ,"sialic acid binding Ig-like lectin 22, pseudogene"
SIGLEC26P,ENSG00000268957, , , ,"sialic acid binding Ig-like lectin 26, pseudogene"
SIGLEC27P,ENSG00000269580, , , ,"sialic acid binding Ig-like lectin 27, pseudogene"
SIGLEC28P,ENSG00000269130, , , ,"sialic acid binding Ig-like lectin 28, pseudogene"
SIGLEC29P,ENSG00000268267, , , ,"sialic acid binding Ig-like lectin 29, pseudogene"
SIGLEC30P,ENSG00000224896, , , ,"sialic acid binding Ig-like lectin 30, pseudogene"
SIGLEC31P,ENSG00000268847,-0.052,9.27E-01, ,"sialic acid binding Ig-like lectin 31, pseudogene"
SIGLEC5,ENSG00000105501, , , ,sialic acid binding Ig-like lectin 5
SIGLEC6,ENSG00000105492, , , ,sialic acid binding Ig-like lectin 6
SIGLEC7,ENSG00000168995, , , ,sialic acid binding Ig-like lectin 7
SIGLEC8,ENSG00000105366,0.289,5.55E-01, ,sialic acid binding Ig-like lectin 8
SIGLEC9,ENSG00000129450,-0.353,6.18E-01, ,sialic acid binding Ig-like lectin 9
SIGLECL1,ENSG00000179213,-0.376,4.48E-01, ,SIGLEC family like 1
SIGMAR1,ENSG00000147955,0.293,3.62E-01,8.09E-01,sigma non-opioid intracellular receptor 1
SIK2,ENSG00000170145,0.137,4.03E-01,8.31E-01,salt-inducible kinase 2
SIK3,ENSG00000160584,0.269,2.28E-01,7.06E-01,SIK family kinase 3
SIKE1,ENSG00000052723,-0.219,3.00E-01,7.67E-01,suppressor of IKBKE 1
SIL1,ENSG00000120725,0.738,9.30E-02,5.00E-01,SIL1 nucleotide exchange factor
SIM1,ENSG00000112246,-1.206, , ,single-minded family bHLH transcription factor 1
SIM2,ENSG00000159263,-0.663,3.82E-01,8.19E-01,single-minded family bHLH transcription factor 2
SIMC1,ENSG00000170085,0.074,8.32E-01,9.76E-01,SUMO-interacting motifs containing 1
SIN3A,ENSG00000169375,-0.147,4.40E-01,8.49E-01,SIN3 transcription regulator family member A
SIN3B,ENSG00000127511,-0.033,8.32E-01,9.76E-01,SIN3 transcription regulator family member B
SIPA1,ENSG00000213445,0.643,1.53E-01,6.12E-01,signal-induced proliferation-associated 1
SIPA1L1,ENSG00000197555,0.391,3.85E-01,8.21E-01,signal-induced proliferation-associated 1 like 1
SIPA1L2,ENSG00000116991,0.205,6.33E-01,9.29E-01,signal-induced proliferation-associated 1 like 2
SIPA1L3,ENSG00000105738,-0.127,5.91E-01,9.12E-01,signal-induced proliferation-associated 1 like 3
SIRPA,ENSG00000198053,0.646,2.37E-01,7.16E-01,signal-regulatory protein alpha
SIRPAP1,ENSG00000225774,0.534,5.04E-01, ,signal-regulatory protein alpha pseudogene 1
SIRPB1,ENSG00000260861, , , ,signal-regulatory protein beta 1
SIRPB1,ENSG00000101307,0.621,3.36E-01, ,signal-regulatory protein beta 1
SIRPB2,ENSG00000196209,0.422,5.82E-01, ,signal-regulatory protein beta 2
SIRPB3P,ENSG00000223750,0.293,5.52E-01, ,"signal-regulatory protein beta 3, pseudogene"
SIRPD,ENSG00000125900, , , ,signal-regulatory protein delta
SIRPG,ENSG00000089012,0.289,5.55E-01, ,signal-regulatory protein gamma
SIRPG-AS1,ENSG00000237914,0.093,8.75E-01, ,SIRPG antisense RNA 1
SIRT1,ENSG00000096717,-0.052,8.43E-01,9.77E-01,sirtuin 1
SIRT2,ENSG00000068903,-0.058,7.87E-01,9.68E-01,sirtuin 2
SIRT3,ENSG00000142082,-0.291,3.16E-01,7.76E-01,sirtuin 3
SIRT4,ENSG00000089163,0.198,4.36E-01,8.47E-01,sirtuin 4
SIRT5,ENSG00000124523,-0.14,5.60E-01,9.02E-01,sirtuin 5
SIRT6,ENSG00000077463,0.05,8.19E-01,9.74E-01,sirtuin 6
SIRT7,ENSG00000187531,-0.099,6.67E-01,9.39E-01,sirtuin 7
SIT1,ENSG00000137078,-0.362,4.61E-01, ,signaling threshold regulating transmembrane adaptor 1
SIVA1,ENSG00000184990,-0.013,9.69E-01,9.97E-01,"SIVA1, apoptosis-inducing factor"
SIX1,ENSG00000126778,1.516,5.68E-02,3.97E-01,SIX homeobox 1
SIX2,ENSG00000170577,1.162,1.42E-01,5.93E-01,SIX homeobox 2
SIX3,ENSG00000138083,-2.836,1.00E-04,7.62E-03,SIX homeobox 3
SIX3-AS1,ENSG00000236502,-3.362,2.50E-05,2.80E-03,SIX3 antisense RNA 1
SIX4,ENSG00000100625,1.829,7.10E-03,1.32E-01,SIX homeobox 4
SIX5,ENSG00000177045,-0.116,8.38E-01,9.76E-01,SIX homeobox 5
SIX6,ENSG00000184302,-0.323,6.84E-01, ,SIX homeobox 6
SKA1,ENSG00000154839,-0.203,7.28E-01,9.54E-01,spindle and kinetochore associated complex subunit 1
SKA1,ENSG00000262634, , , ,spindle and kinetochore associated complex subunit 1
SKA2,ENSG00000182628,-0.622,7.36E-02,4.51E-01,spindle and kinetochore associated complex subunit 2
SKA2P1,ENSG00000232387,0.289,5.55E-01, ,spindle and kinetochore associated complex subunit 2 pseudogene 1
SKA3,ENSG00000165480,-0.645,2.55E-01,7.29E-01,spindle and kinetochore associated complex subunit 3
SKAP1,ENSG00000141293,1.32,8.20E-02,4.74E-01,src kinase associated phosphoprotein 1
SKAP2,ENSG00000005020,0.174,7.28E-01,9.54E-01,src kinase associated phosphoprotein 2
SKI,ENSG00000157933,0.012,9.72E-01,9.97E-01,SKI proto-oncogene
SKIDA1,ENSG00000180592,-0.843,6.38E-03,1.24E-01,SKI/DACH domain containing 1
SKIL,ENSG00000136603,1.409,1.08E-04,8.10E-03,SKI-like proto-oncogene
SKINTL,ENSG00000242267,0.204,5.31E-01,8.90E-01,"Skint-like, pseudogene"
SKIV2L,ENSG00000204351,0.086,7.72E-01,9.65E-01,"SKI2 homolog, superkiller viralicidic activity 2-like"
SKIV2L,ENSG00000206353, , , ,"SKI2 homolog, superkiller viralicidic activity 2-like"
SKIV2L,ENSG00000225737, , , ,"SKI2 homolog, superkiller viralicidic activity 2-like"
SKIV2L,ENSG00000228896, , , ,"SKI2 homolog, superkiller viralicidic activity 2-like"
SKIV2L,ENSG00000232616, , , ,"SKI2 homolog, superkiller viralicidic activity 2-like"
SKIV2L,ENSG00000223493, , , ,"SKI2 homolog, superkiller viralicidic activity 2-like"
SKIV2L2,ENSG00000039123,0.112,4.69E-01,8.59E-01,superkiller viralicidic activity 2-like 2 (S. cerevisiae)
SKOR1,ENSG00000188779,-0.715,7.57E-03,1.37E-01,SKI family transcriptional corepressor 1
SKOR2,ENSG00000215474,-1.08,1.74E-01, ,SKI family transcriptional corepressor 2
SKP1,ENSG00000113558,-0.012,9.61E-01,9.96E-01,S-phase kinase-associated protein 1
SKP1P1,ENSG00000231234,0.122,8.30E-01,9.76E-01,S-phase kinase-associated protein 1 pseudogene 1
SKP1P3,ENSG00000229707, , , ,S-phase kinase-associated protein 1 pseudogene 3
SKP2,ENSG00000145604,-0.413,2.26E-01,7.03E-01,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"
SLA,ENSG00000155926,0.411,5.56E-01,9.01E-01,Src-like-adaptor
SLA2,ENSG00000101082,-0.132,8.23E-01,9.75E-01,Src-like-adaptor 2
SLAIN1,ENSG00000139737,-0.96,8.74E-02,4.86E-01,"SLAIN motif family, member 1"
SLAIN2,ENSG00000109171,0.091,7.34E-01,9.56E-01,"SLAIN motif family, member 2"
SLAMF1,ENSG00000117090, , , ,signaling lymphocytic activation molecule family member 1
SLAMF6,ENSG00000162739,0.324,6.53E-01, ,SLAM family member 6
SLAMF6P1,ENSG00000227243, , , ,SLAM family member 6 pseudogene 1
SLAMF7,ENSG00000026751,0.766,3.23E-01, ,SLAM family member 7
SLAMF8,ENSG00000158714,2.535,1.42E-03, ,SLAM family member 8
SLAMF9,ENSG00000162723,0.07,9.29E-01, ,SLAM family member 9
SLBP,ENSG00000163950,0.023,9.00E-01,9.87E-01,stem-loop binding protein
SLC10A1,ENSG00000100652, , , ,"solute carrier family 10 (sodium/bile acid cotransporter), member 1"
SLC10A2,ENSG00000125255,-0.842,2.62E-01, ,"solute carrier family 10 (sodium/bile acid cotransporter), member 2"
SLC10A3,ENSG00000126903,0.887,4.42E-02,3.50E-01,"solute carrier family 10, member 3"
SLC10A4,ENSG00000145248,-0.76,1.60E-01,6.22E-01,"solute carrier family 10, member 4"
SLC10A5,ENSG00000253598,0.177,7.34E-01,9.56E-01,"solute carrier family 10, member 5"
SLC10A5P1,ENSG00000205184,0.557,4.72E-01, ,SLC10A5 pseudogene 1
SLC10A6,ENSG00000145283,-0.219,7.84E-01, ,"solute carrier family 10 (sodium/bile acid cotransporter), member 6"
SLC10A7,ENSG00000120519,0.089,7.92E-01,9.69E-01,"solute carrier family 10, member 7"
SLC11A1,ENSG00000018280,-0.188,7.50E-01,9.60E-01,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1"
SLC11A2,ENSG00000110911,-0.009,9.70E-01,9.97E-01,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2"
SLC12A1,ENSG00000074803,-0.666,3.43E-01,7.98E-01,"solute carrier family 12 (sodium/potassium/chloride transporter), member 1"
SLC12A2,ENSG00000064651,0.316,4.81E-02,3.65E-01,"solute carrier family 12 (sodium/potassium/chloride transporter), member 2"
SLC12A3,ENSG00000070915,-0.64,4.13E-01, ,"solute carrier family 12 (sodium/chloride transporter), member 3"
SLC12A4,ENSG00000124067,0.89,9.98E-02,5.16E-01,"solute carrier family 12 (potassium/chloride transporter), member 4"
SLC12A5,ENSG00000124140,0.617,3.68E-01,8.13E-01,"solute carrier family 12 (potassium/chloride transporter), member 5"
SLC12A6,ENSG00000140199,-0.254,3.09E-01,7.73E-01,"solute carrier family 12 (potassium/chloride transporter), member 6"
SLC12A7,ENSG00000113504,0.048,8.61E-01,9.80E-01,"solute carrier family 12 (potassium/chloride transporter), member 7"
SLC12A8,ENSG00000221955,1.431,1.78E-02,2.17E-01,"solute carrier family 12, member 8"
SLC12A9,ENSG00000146828,0.081,6.95E-01,9.47E-01,"solute carrier family 12, member 9"
SLC13A1,ENSG00000081800,-0.211,6.94E-01,9.47E-01,"solute carrier family 13 (sodium/sulfate symporter), member 1"
SLC13A2,ENSG00000007216,0.366,4.95E-01, ,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
SLC13A3,ENSG00000158296,-0.449,1.46E-01,6.00E-01,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"
SLC13A4,ENSG00000164707,-0.994,2.08E-01, ,"solute carrier family 13 (sodium/sulfate symporter), member 4"
SLC13A5,ENSG00000141485,1.524,2.51E-02,2.64E-01,"solute carrier family 13 (sodium-dependent citrate transporter), member 5"
SLC14A1,ENSG00000141469,1.11,1.64E-01,6.29E-01,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)"
SLC14A2,ENSG00000132874,0.569,2.96E-01,7.63E-01,"solute carrier family 14 (urea transporter), member 2"
SLC14A2-AS1,ENSG00000267097,0.534,4.46E-01,8.51E-01,SLC14A2 antisense RNA 1
SLC15A1,ENSG00000088386,0.079,8.76E-01,9.84E-01,"solute carrier family 15 (oligopeptide transporter), member 1"
SLC15A2,ENSG00000163406,-1.423,4.46E-02,3.52E-01,"solute carrier family 15 (oligopeptide transporter), member 2"
SLC15A3,ENSG00000110446,0.708,2.15E-01,6.89E-01,"solute carrier family 15 (oligopeptide transporter), member 3"
SLC15A4,ENSG00000139370,0.563,3.61E-01,8.09E-01,"solute carrier family 15 (oligopeptide transporter), member 4"
SLC15A5,ENSG00000188991,0.584,4.64E-01, ,"solute carrier family 15, member 5"
SLC16A1,ENSG00000155380,0.201,6.39E-01,9.31E-01,"solute carrier family 16 (monocarboxylate transporter), member 1"
SLC16A1-AS1,ENSG00000226419,-0.126,7.76E-01,9.66E-01,SLC16A1 antisense RNA 1
SLC16A10,ENSG00000112394,0.46,4.65E-01,8.58E-01,"solute carrier family 16 (aromatic amino acid transporter), member 10"
SLC16A11,ENSG00000174326,-0.228,7.72E-01, ,"solute carrier family 16, member 11"
SLC16A12,ENSG00000152779,-1.309,1.26E-02,1.79E-01,"solute carrier family 16, member 12"
SLC16A12-AS1,ENSG00000234452,1.036,1.63E-01, ,SLC16A12 antisense RNA 1
SLC16A13,ENSG00000174327,-0.244,4.55E-01,8.55E-01,"solute carrier family 16, member 13"
SLC16A14,ENSG00000163053,0.022,9.65E-01,9.96E-01,"solute carrier family 16, member 14"
SLC16A14P1,ENSG00000213708, , , ,"solute carrier family 16, member 14 pseudogene 1"
SLC16A1P1,ENSG00000242280,0.301,5.46E-01, ,SLC16A1 pseudogene 1
SLC16A2,ENSG00000147100,-0.061,8.21E-01,9.74E-01,"solute carrier family 16, member 2 (thyroid hormone transporter)"
SLC16A3,ENSG00000141526,2.455,3.15E-04,1.73E-02,"solute carrier family 16 (monocarboxylate transporter), member 3"
SLC16A4,ENSG00000168679,0.721,2.44E-01,7.22E-01,"solute carrier family 16, member 4"
SLC16A5,ENSG00000170190,0.511,5.19E-01,8.83E-01,"solute carrier family 16 (monocarboxylate transporter), member 5"
SLC16A6,ENSG00000108932,1.511,4.82E-03,1.06E-01,"solute carrier family 16, member 6"
SLC16A6P1,ENSG00000232457,0.487,4.14E-01, ,SLC16A6 pseudogene 1
SLC16A7,ENSG00000118596,0.842,8.08E-02,4.70E-01,"solute carrier family 16 (monocarboxylate transporter), member 7"
SLC16A8,ENSG00000100156,-0.596,4.50E-01, ,"solute carrier family 16 (monocarboxylate transporter), member 8"
SLC16A9,ENSG00000165449,0.395,2.98E-01,7.65E-01,"solute carrier family 16, member 9"
SLC17A1,ENSG00000124568,-0.046,9.36E-01, ,"solute carrier family 17 (organic anion transporter), member 1"
SLC17A2,ENSG00000112337,-0.362,4.61E-01, ,"solute carrier family 17, member 2"
SLC17A3,ENSG00000124564,0.093,8.75E-01, ,"solute carrier family 17 (organic anion transporter), member 3"
SLC17A4,ENSG00000146039,0.156,8.23E-01, ,"solute carrier family 17, member 4"
SLC17A5,ENSG00000119899,0.557,2.08E-01,6.81E-01,"solute carrier family 17 (acidic sugar transporter), member 5"
SLC17A6,ENSG00000091664,-0.326,6.18E-01,9.24E-01,"solute carrier family 17 (vesicular glutamate transporter), member 6"
SLC17A7,ENSG00000104888,0.057,9.23E-01,9.91E-01,"solute carrier family 17 (vesicular glutamate transporter), member 7"
SLC17A8,ENSG00000179520,-0.883,2.16E-01,6.90E-01,"solute carrier family 17 (vesicular glutamate transporter), member 8"
SLC17A9,ENSG00000101194,0.197,7.70E-01, ,"solute carrier family 17 (vesicular nucleotide transporter), member 9"
SLC18A1,ENSG00000036565,-0.029,9.67E-01,9.96E-01,"solute carrier family 18 (vesicular monoamine transporter), member 1"
SLC18A2,ENSG00000165646,0.58,4.32E-01,8.45E-01,"solute carrier family 18 (vesicular monoamine transporter), member 2"
SLC18A3,ENSG00000187714,0.487,3.51E-01,8.02E-01,"solute carrier family 18 (vesicular acetylcholine transporter), member 3"
SLC18B1,ENSG00000146409,-0.656,1.43E-01,5.96E-01,"solute carrier family 18, subfamily B, member 1"
SLC19A1,ENSG00000173638,-0.132,4.69E-01,8.59E-01,"solute carrier family 19 (folate transporter), member 1"
SLC19A2,ENSG00000117479,0.161,4.39E-01,8.49E-01,"solute carrier family 19 (thiamine transporter), member 2"
SLC19A3,ENSG00000135917,0.156,7.51E-01,9.61E-01,"solute carrier family 19 (thiamine transporter), member 3"
SLC1A1,ENSG00000106688,0.384,5.45E-01,8.96E-01,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"
SLC1A2,ENSG00000110436,-0.573,3.12E-01,7.75E-01,"solute carrier family 1 (glial high affinity glutamate transporter), member 2"
SLC1A3,ENSG00000079215,-1.555,6.41E-03,1.24E-01,"solute carrier family 1 (glial high affinity glutamate transporter), member 3"
SLC1A4,ENSG00000115902,0.056,8.95E-01,9.87E-01,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"
SLC1A5,ENSG00000105281,1.35,6.42E-02,4.25E-01,"solute carrier family 1 (neutral amino acid transporter), member 5"
SLC1A6,ENSG00000105143,0.603,3.65E-01,8.11E-01,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
SLC1A7,ENSG00000162383,-1.019,2.01E-01, ,"solute carrier family 1 (glutamate transporter), member 7"
SLC20A1,ENSG00000144136,0.764,4.34E-02,3.48E-01,"solute carrier family 20 (phosphate transporter), member 1"
SLC20A1P1,ENSG00000223506, , , ,"solute carrier family 20 (phosphate transporter), member 1 pseudogene 1"
SLC20A1P3,ENSG00000258706, , , ,"solute carrier family 20 (phosphate transporter), member 1 pseudogene 3"
SLC20A2,ENSG00000168575,0.35,5.73E-02,3.99E-01,"solute carrier family 20 (phosphate transporter), member 2"
SLC22A1,ENSG00000175003,0.642,1.51E-01,6.10E-01,"solute carrier family 22 (organic cation transporter), member 1"
SLC22A10,ENSG00000184999,-0.383,5.87E-01, ,"solute carrier family 22, member 10"
SLC22A11,ENSG00000168065,1.296,7.68E-02, ,"solute carrier family 22 (organic anion/urate transporter), member 11"
SLC22A12,ENSG00000197891, , , ,"solute carrier family 22 (organic anion/urate transporter), member 12"
SLC22A13,ENSG00000172940,0.71,2.03E-01,6.74E-01,"solute carrier family 22 (organic anion/urate transporter), member 13"
SLC22A14,ENSG00000144671,0.133,8.08E-01,9.71E-01,"solute carrier family 22, member 14"
SLC22A15,ENSG00000163393,0.763,1.83E-01,6.53E-01,"solute carrier family 22, member 15"
SLC22A16,ENSG00000004809,-0.535,4.70E-01, ,"solute carrier family 22 (organic cation/carnitine transporter), member 16"
SLC22A17,ENSG00000092096,-0.04,9.10E-01,9.90E-01,"solute carrier family 22, member 17"
SLC22A18,ENSG00000110628,0.703,1.52E-01,6.12E-01,"solute carrier family 22, member 18"
SLC22A18AS,ENSG00000254827,0.529,5.00E-01, ,"solute carrier family 22 (organic cation transporter), member 18 antisense"
SLC22A2,ENSG00000112499,2.389,1.89E-03,5.83E-02,"solute carrier family 22 (organic cation transporter), member 2"
SLC22A20,ENSG00000197847,0.247,5.99E-01,9.16E-01,"solute carrier family 22, member 20"
SLC22A23,ENSG00000137266,-0.043,9.24E-01,9.92E-01,"solute carrier family 22, member 23"
SLC22A24,ENSG00000197658, , , ,"solute carrier family 22, member 24"
SLC22A25,ENSG00000196600,0.613,3.40E-01, ,"solute carrier family 22, member 25"
